videoid,description,page_idx,page_dir,duration,contentUrl
100278,"a view of a town with a group of people walking around a white building and down a street, a clock tower in the middle of the town, and a train station with a sky background.",,,,
100280,"an aerial view of a rural village located in the middle of a field, the scene includes farmland, mountains in the background, and a field.",,,,
100281,"a view from a vehicle of a field with white flowers, trees, and an apple orchard in bloom, including a blurry photo of a tree with the words air plane on it.",,,,
100282,"a picture of a woman in a white dress standing in a blurry, virtual field with flowers, trees and grass.",,,,
100283,"a picture of a field with trees, flowers and an apple tree, including a blurry view of an apple tree.",,,,
100284,"a picture of a field with trees, flowers, and a 3D image of a bride and groom in an apple orchard.",,,,
100285,a 3d image of a woman in a white dress walking through a field with apple trees and flowers in an orchard.,,,,
100286,"an aerial 3D view of a person flying a kite in a desert landscape, the landscape including a dirt field, mountains in the background",,,,
100287,"a 3D aerial view of a mountain with a sky background, the scene includes clouds and a dirt field.",,,,
100288,"a panoramic and aerial view of a mountain range with a sky background, including a large body of water.",,,,
100289,"a 360 view of a scene including a dirt road with a hill, a beach with mountains, a mountain with steam coming out of it, and a desert with a mountain in the background.",,,,
100290,"an aerial view of a foggy mountain range with a geyser spewing out water, a river running through it, and a blurry photo of the same river with mountains in the background.",,,,
100291,"a panoramic and bird's eye view of a cliff in the mountains and desert, the landscape including trees and cliff face.",,,,
100292,"a panoramic and aerial view of a canyon in the mountains with a rocky cliff, a field with a sunset in the background and a mountain in the background.",,,,
100293,"a panoramic view of a canyon at sunset, the scene includes a mountain, a man riding a bike down a dirt road, and a rocky cliff.",,,,
100294,"a panoramic view of a desert at sunset, featuring a cliff, a canyon, trees in the background, and a rocky cliff with trees on top.",,,,
100295,"a panoramic view of a large waterfall from a helicopter, including a river with a rainbow in the sky and a view of the water from a boat.",,,,
100296,"a blurry photo of a green wall with a plant growing on it, featuring a painting of a waterfall in the woods and an image of the plant growing on the side of a building.",,,,
100297,"a blurry photo of an airplane flying over a waterfall and a forest filled with trees and bushes, with a light coming out of a cave.",,,,
100298,"a 3D image of a man standing in front of a waterfall in a lush green forest, which is adjacent to a room with a bed and a curtain hanging from the ceiling.",,,,
100299,"a blurry photo of a man standing on a street with trees, a plant with the words airpano, and a waterfall in the background, and a body of water also present in the scene.",,,,
100300,"a picture of a large waterfall with water cascading down its sides taken from a boat, including a panoramic view of a foggy lake, and a blurry view of a forest with rocks and trees.",,,,
100301,"a blurry photo of boats, including a gondola, traveling down a river next to tall buildings, with an airpano logo and a canal in front of a building",,,,
100303,"a gondola going down a canal with people on it, with a man riding a boat down a river, surrounded by tall buildings in the background.",,,,
100304,"a scene featuring a narrow canal with gondolas, a man in a white suit standing next to a car, a building with a boat in front of it, and a gondola moving down a narrow city street.",,,,
100307,a crowd of people walking down a street next to tall buildings,,,,
100308,"a boat traveling down a narrow canal next to tall buildings with graffiti, under a bridge on a river, with a couple of people riding a gondola.",,,,
100309,"a boat and a gondola with a stuffed animal on the front traveling down a large body of water next to tall buildings, with a large building sitting on the side of the river.",,,,
100310,"a couple of people, including a man in a white costume and a woman in a red and white dress, are traveling down a river on a boat, the scene also featuring tall buildings nearby.",,,,
100311,"a man riding a boat traveling down a river under a bridge, the river next to tall buildings and a building near a bridge over the water.",,,,
100313,a group of people walking down a street next to tall buildings,,,,
100314,a large crowd of people walking down a street next to tall buildings.,,,,
100315,"a group of people walking down a city street next to tall buildings, the city street appearing blurry with people walking around, and a building with people walking by.",,,,
100316,"a group of people in a skate park, standing in front of a building, walking down a street next to a hill and across a parking lot.",,,,
100317,"a panoramic aerial view of a lush green forest with a river, the forest includes a tree in the woods and a wooded area with trees.",,,,
100318,"a view of a group of people sitting on a bench next to a river, with a bunch of pandas standing in the grass and a wooden walkway in the woods",,,,
100319,"a group of panda bears laying in the grass on top of a pile of hay, one of them next to a river, with people standing on a bridge over the river.",,,,
100320,"a blurry photo of a group of people and a person standing on a bridge, the people sitting on a bench next to a river with a group of panda bears laying on top of a pile of bamboo and a cat sitting on a wooden floor.",,,,
100321,"a blurry photo of a group of people and animals on a wooden deck in the woods, standing on top of a bridge, and a man riding a bike down a dirt road, with the scene set in the grass.",,,,
100322,"a panoramic view of a lush green park with buildings surrounded by trees, one of which is in the middle of a field.",,,,
100323,a group of people walking down a street with a small car parked on the side of the road.,,,,
100324,"a blurry photo of a dog running through a park with a river, trees and a group of people standing in front of a tree.",,,,
100325,"an aerial view of a garden with a bird perched on a tree branch, a wooden bench sitting next to a forest filled with trees and a tree in a wooded area with no leaves.",,,,
100326,"a blurry photo of a car and a motorcycle driving down a street with trees, next to a bridge in the woods and a forest.",,,,
100327,"a blurry photo of a lush green forest with a tree in the middle, a road surrounded by trees, as seen from a bird's eye view.",,,,
